modality_pair,tissue,within_mean,between_mean,delta,n_within,n_between,within_var,between_var
Accessibility | CAGE,hepatocyte,0.1004871353507042,0.09408394772381069,0.0064031876268935,6,5426,0.00044224840407290113,0.0006480163890233079
Accessibility | RNA,right lung,0.047629970921711486,0.02950238122555976,0.018127589696151726,55,20294,0.0001117147159149603,0.0003637826222082669
Accessibility | RNA,right renal cortex interstitium,0.03921496495604515,0.0291544453729529,0.010060519583092252,9,6864,1.2504222513331532e-05,0.00025723778788609155
Accessibility | RNA,right renal pelvis,0.04724683193489909,0.032072909408727125,0.015173922526171967,16,9144,8.683777020324253e-05,0.0003344808212198938
Accessibility | RNA,sigmoid colon,0.0433637784444727,0.03633253538552609,0.007031243058946611,32,15794,0.00012284819325993892,0.0003323389099369439
Accessibility | RNA,sjcrh30,0.15673242509365082,0.06005462411852585,0.09667780097512496,2,3095,1.7184584264473557e-06,0.00033985980521780007
Accessibility | RNA,sjsa1,0.14623066037893295,0.06414771917522832,0.08208294120370463,2,3095,0.00030587949491739375,0.000566706529939202
Accessibility | RNA,sk-mel-5,0.08557764068245888,0.039878915846587024,0.045698724835871854,6,6307,0.0003515734050418594,0.0004162422792717438
Accessibility | RNA,sk-n-dz,0.09137667963902156,0.043782773758684966,0.047593905880336594,6,6307,0.00010230972862871127,0.0003462490981653854
Accessibility | RNA,skin of body,0.029573457315564156,0.030574684788073115,-0.0010012274725089594,2,3095,1.1104411802610736e-06,0.00023456515498918723
Accessibility | RNA,small intestine,0.05280403908017477,0.04038150480542075,0.012422534274754017,168,28802,0.0005064707532832931,0.00044541764159404095
Accessibility | RNA,spinal cord,0.03874559642281383,0.03260749366783848,0.0061381027549753525,24,12106,0.0001817715821910398,0.00030141247475242035
Accessibility | RNA,spleen,0.02880613601581868,0.03238778177414384,-0.0035816457583251575,58,26207,0.00022997952615661464,0.00031817707174864804
Accessibility | RNA,stomach,0.05944973125000475,0.04221051523117667,0.01723921601882808,520,49670,0.0014322776250089344,0.0006681929142056157
Accessibility | RNA,t-cell,0.025394659861922263,0.029227464081586014,-0.003832804219663751,30,12215,0.00011448395863872046,0.00028748133699254717
Accessibility | RNA,t47d,0.08288345485925674,0.05585810170726336,0.027025353151993385,4,4701,2.634901745762752e-06,0.000576782361459683
Accessibility | RNA,testis,0.07352084152045704,0.051299801191235055,0.022221040329221987,21,10060,0.00012089740172142611,0.0005378584250487197
Accessibility | RNA,thymus,0.07993027532384508,0.045347522740200465,0.03458275258364462,63,18910,0.00018672348074726813,0.00039209778678566233
Accessibility | RNA,thyroid gland,0.05956754251383245,0.03537087308400717,0.024196669429825277,40,13926,0.00026454098574480193,0.00030613121315223833
Accessibility | RNA,tibial nerve,0.0469590756110847,0.032338723337835475,0.014620352273249225,16,9386,0.0002257638989265733,0.00027557330300540775
Accessibility | RNA,tongue,0.027066456619650126,0.02833107737591506,-0.0012646207562649336,4,4580,7.29151366080569e-05,0.00030517616844945913
Accessibility | RNA,transverse colon,0.03677990596042946,0.034355997494368046,0.002423908466061414,32,12332,0.0001951552424258019,0.00038811294349624546
Accessibility | RNA,umbilical cord,0.04937531240284443,0.03395799422492334,0.015417318177921087,2,3095,0.00012316691122083237,0.0004848599894941778
Accessibility | RNA,upper lobe of left lung,0.042417552736070424,0.02992859017229258,0.012488962563777843,36,14055,0.00011607460326437972,0.0003717466782783515
Accessibility | RNA,urinary bladder,0.044297633692622185,0.03725664494528338,0.007040988747338807,4,4701,2.1125450399010065e-05,0.00033731687906268966
Accessibility | RNA,uterus,0.05791474599391222,0.03521420708351911,0.022700538910393107,8,7913,0.0003773244025774931,0.0005257144430637567
Accessibility | RNA,vagina,0.048632167279720306,0.042713371173890076,0.0059187961058302305,10,6983,4.254996446535764e-05,0.0003743010537151409
Accessibility | TFChIP,a549,0.22706395031751267,0.10141077763026231,0.12565317268725035,56,46801,0.018442533803424525,0.0026625927733077686
Accessibility | TFChIP,a673,0.09556912630796432,0.07480997144010088,0.02075915486786345,2,3439,0.0019999238499282534,0.001494145348804171
Accessibility | TFChIP,adrenal gland,0.14264168742705474,0.09947647946958156,0.04316520795747318,66,24861,0.0021152992965672995,0.0018137970155295037
Accessibility | TFChIP,ag04449,0.07859568297863007,0.08912198306328738,-0.010526300084657311,1,2636,0.0,0.0013987889526980296
Accessibility | TFChIP,ag04450,0.1162862479686737,0.0860629131421817,0.030223334826492004,1,2636,0.0,0.0014604227822198656
Accessibility | TFChIP,ag09309,0.1181873083114624,0.08829346247623938,0.029893845835223018,1,2636,0.0,0.0013749380177088743
Accessibility | TFChIP,ag09319,0.10646620392799377,0.08969511161039408,0.016771092317599698,1,2636,0.0,0.00132468849910947
Accessibility | TFChIP,ag10803,0.09891901910305023,0.08038277546728997,0.018536243635760258,1,2636,0.0,0.0012414313809019075
Accessibility | TFChIP,ascending aorta,0.09325442463159561,0.09130509565954895,0.0019493289720466656,1,2636,0.0,0.0015531505368034382
Accessibility | TFChIP,b cell,0.21474853654702505,0.09218440282243695,0.1225641337245881,3,6298,0.00032818860388688503,0.0023136784391678215
Accessibility | TFChIP,be2c,0.16426241397857666,0.07625185334980798,0.08801056062876868,1,2636,0.0,0.0016935478775831868
Accessibility | TFChIP,bipolar neuron,0.2876862858732541,0.07362186078616004,0.21406442508709408,6,6651,0.014170269290390489,0.001232862091345665
Accessibility | TFChIP,bj,0.06731756031513214,0.0791060714203928,-0.011788511105260663,1,2636,0.0,0.001226362360272723
Accessibility | TFChIP,body of pancreas,0.21492433485885462,0.11135563316083391,0.10356870169802071,36,14505,0.004639837671217346,0.002186047364926254
Accessibility | TFChIP,breast epithelium,0.24051538947969675,0.12683966334624747,0.11367572613344928,8,8257,0.009382829635579973,0.0024594734859027453
Accessibility | TFChIP,cardiac fibroblast,0.10610279068350792,0.0861778658911702,0.01992492479233772,2,4467,8.869420618076718e-06,0.001626138981256478
Accessibility | TFChIP,cardiac muscle cell,0.18361656367778778,0.09449344406803982,0.08912311960974796,2,3439,0.0034019473039572645,0.001899402584081276
Accessibility | TFChIP,cd14-positive monocyte,0.0953198328614235,0.07165580110611547,0.023664031755308026,5,9960,0.000539577281078554,0.00159907584945435
Accessibility | TFChIP,coronary artery,0.09007453173398972,0.10081383965991887,-0.010739307925929156,2,4467,0.0002252772648445589,0.0018766227102418077
Accessibility | TFChIP,d721med,0.1399039775133133,0.08590471095524418,0.05399926655806911,1,2636,0.0,0.0018696368371297284
Accessibility | TFChIP,endothelial cell of umbilical vein,0.34522339403629304,0.09186854345358815,0.2533548505827049,5,5848,0.01398265368940825,0.0035129134453903126
Accessibility | TFChIP,esophagus muscularis mucosa,0.1394162205979228,0.11171375951974279,0.027702461078180016,8,8257,0.004243403087134265,0.003026304037358653
Accessibility | TFChIP,esophagus squamous epithelium,0.12108912784606218,0.110004377069607,0.011084750776455182,8,8257,0.0010291806793021607,0.002138241809355401
Accessibility | TFChIP,fibroblast of the aortic adventitia,0.09003616124391556,0.08133563674266583,0.008700524501249723,1,2636,0.0,0.0013279852694210014
Accessibility | TFChIP,foreskin fibroblast,0.137211536988616,0.08931904376542064,0.047892493223195345,4,5268,0.0009079970189013568,0.001681369757645542
Accessibility | TFChIP,gastrocnemius medialis,0.19178627108534177,0.09809422802281578,0.09369204306252599,15,9494,0.008294049765222161,0.001962311195935623
Accessibility | TFChIP,gm10248,0.19286726415157318,0.09677240166078187,0.09609486249079131,1,2636,0.0,0.0026445152328334314
Accessibility | TFChIP,gm12864,0.10390654951334,0.08062716369660271,0.02327938581673729,1,2636,0.0,0.0024441970163713196
Accessibility | TFChIP,gm12878,0.16409238158054282,0.09416182355780549,0.06993055802273733,152,123889,0.010574241764837618,0.0022190489084240577
Accessibility | TFChIP,gm12891,0.14374467198337829,0.10618710876165842,0.03755756322171987,7,7454,0.00252782598077516,0.0023048752206901845
Accessibility | TFChIP,gm12892,0.1738077737390995,0.11597162383930334,0.05783614989979616,4,5045,0.00039980069022275966,0.002702490320669687
Accessibility | TFChIP,gm23248,0.04614301724359393,0.0545189976994409,-0.00837598045584697,2,3439,0.0020028717426061257,0.0013727758744589763
Accessibility | TFChIP,h1,0.16221080036533964,0.0873634215980782,0.07484737876726144,177,52640,0.0063199486882665225,0.0018998783165051396
Accessibility | TFChIP,h54,0.10521473735570908,0.06775307026061299,0.03746166709509609,1,2636,0.0,0.0009589287883545773
Accessibility | TFChIP,heart left ventricle,0.14947985981901488,0.10157630428629462,0.04790355553272026,12,8695,0.005820794290109458,0.002294573347750158
Accessibility | TFChIP,hek293t,0.10197379696182907,0.06465861534715876,0.037315181614670304,16,14681,0.0028892160389849993,0.0014821375144670572
