tissue,m1,m2,delta,n_within,pair
EFO:0001086,ChIP-seq:H3K27me3,DNase-seq,-0.02329082355028441,1.0,ChIP-seq:H3K27me3 x DNase-seq
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:H2AFZ,0.07568362626162442,1.0,ChIP-seq:H2AFZ x ChIP-seq:H3K27me3
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:H3K4me1,0.01986991785584934,1.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K4me1
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:H3K4me2,0.011903792046583615,1.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:H3K4me3,-0.02173867030614735,3.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:H3K79me2,-0.023616025437201774,1.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:H3K9ac,-0.038005555849722636,1.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K9ac
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:H3K9me3,0.21755085854350772,1.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K9me3
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:H4K20me1,0.1773317447730473,1.0,ChIP-seq:H3K27me3 x ChIP-seq:H4K20me1
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:GABPA,-0.005877361675216393,1.0,ChIP-seq:GABPA x ChIP-seq:H3K27me3
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:JUND,-0.013759439811110497,1.0,ChIP-seq:H3K27me3 x ChIP-seq:JUND
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:MYC,0.03002632111310959,1.0,ChIP-seq:H3K27me3 x ChIP-seq:MYC
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:POLR2A,-0.030626164821835306,2.0,ChIP-seq:H3K27me3 x ChIP-seq:POLR2A
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:RAD21,0.025317946592202552,1.0,ChIP-seq:H3K27me3 x ChIP-seq:RAD21
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:REST,0.005818616402776616,2.0,ChIP-seq:H3K27me3 x ChIP-seq:REST
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:TAF1,0.028093458712100984,1.0,ChIP-seq:H3K27me3 x ChIP-seq:TAF1
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:YY1,0.00779216020153119,1.0,ChIP-seq:H3K27me3 x ChIP-seq:YY1
EFO:0001086,ChIP-seq:H3K27me3,polyA plus RNA-seq,-0.016801149612574867,8.0,ChIP-seq:H3K27me3 x polyA plus RNA-seq
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:H3K27ac,0.15368328407206344,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me1
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:CTCF,0.03236486547523075,3.0,ChIP-seq:CTCF x ChIP-seq:H3K4me1
EFO:0001086,ChIP-seq:H3K4me1,DNase-seq,-0.08688542797785848,1.0,ChIP-seq:H3K4me1 x DNase-seq
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:H2AFZ,0.22245322845198892,1.0,ChIP-seq:H2AFZ x ChIP-seq:H3K4me1
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:H3K27me3,0.014043467649357107,1.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K4me1
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:H3K4me2,0.33593730743114764,1.0,ChIP-seq:H3K4me1 x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:H3K4me3,0.04767697563948342,3.0,ChIP-seq:H3K4me1 x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:H3K79me2,0.24993001392909459,1.0,ChIP-seq:H3K4me1 x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:H3K9ac,0.12742606149886243,1.0,ChIP-seq:H3K4me1 x ChIP-seq:H3K9ac
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:H3K9me3,0.0017132878802311458,1.0,ChIP-seq:H3K4me1 x ChIP-seq:H3K9me3
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:H4K20me1,-0.0011564353747027245,1.0,ChIP-seq:H3K4me1 x ChIP-seq:H4K20me1
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:GABPA,-0.0158872843127359,1.0,ChIP-seq:GABPA x ChIP-seq:H3K4me1
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:JUND,-0.03483792179479049,1.0,ChIP-seq:H3K4me1 x ChIP-seq:JUND
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:MYC,0.043607591092586516,1.0,ChIP-seq:H3K4me1 x ChIP-seq:MYC
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:POLR2A,-0.02420109048388995,2.0,ChIP-seq:H3K4me1 x ChIP-seq:POLR2A
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:RAD21,0.045271461113141134,1.0,ChIP-seq:H3K4me1 x ChIP-seq:RAD21
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:REST,0.013014430229208972,2.0,ChIP-seq:H3K4me1 x ChIP-seq:REST
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:TAF1,-0.07715494185686111,1.0,ChIP-seq:H3K4me1 x ChIP-seq:TAF1
EFO:0001086,ChIP-seq:H3K4me1,ChIP-seq:YY1,0.013035439026470367,1.0,ChIP-seq:H3K4me1 x ChIP-seq:YY1
EFO:0001086,ChIP-seq:H3K4me1,polyA plus RNA-seq,0.02658861254652341,8.0,ChIP-seq:H3K4me1 x polyA plus RNA-seq
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:H3K27ac,0.44694654155739755,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:CTCF,0.04587745666503906,3.0,ChIP-seq:CTCF x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:H3K4me2,DNase-seq,0.12242975467894257,1.0,ChIP-seq:H3K4me2 x DNase-seq
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:H2AFZ,0.34868484193628485,1.0,ChIP-seq:H2AFZ x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:H3K27me3,0.0010040240680299142,1.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:H3K4me1,0.2972630498901246,1.0,ChIP-seq:H3K4me1 x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:H3K4me3,0.5656525480607574,3.0,ChIP-seq:H3K4me2 x ChIP-seq:H3K4me3
